Order_ID,Gender_Category,Product_Line,Product_Name,Size,Revenue,Sales_Channel,Region,Profit_columns,Loss
2000,Kids,Training,SuperRep Go,M,0.0,Online,bengaluru,0.0,-770.45
2001,Women,Soccer,Tiempo Legend,M,0.0,Retail,Hyderabad,0.0,-112.53
2002,Women,Soccer,Premier III,M,0.0,Retail,Mumbai,3337.34,0.0
2003,Kids,Lifestyle,Blazer Mid,L,0.0,Online,Pune,3376.85,0.0
2004,Kids,Running,React Infinity,XL,0.0,Retail,Delhi,187.89,0.0
2005,Women,Training,Flex Trainer,M,0.0,Retail,Delhi,1415.98,0.0
2006,Men,Training,SuperRep Go,M,0.0,Online,Bangaluru,1802.09,0.0
2007,Kids,Training,SuperRep Go,M,0.0,Retail,Bangaluru,2928.36,0.0
2008,Women,Soccer,Premier III,11,0.0,Online,Hyderabad,0.0,-731.18
2009,Men,Soccer,Mercurial Superfly,M,0.0,Online,Pune,3929.61,0.0
2010,Kids,Lifestyle,Waffle One,L,0.0,Online,Pune,1965.56,0.0
2011,Women,Training,Flex Trainer,L,0.0,Retail,Hyderabad,1667.08,0.0
2018,Kids,Lifestyle,Blazer Mid,L,0.0,Online,Delhi,2109.48,0.0
2013,Kids,Training,SuperRep Go,L,0.0,Online,Hyderabad,299.34,0.0
2014,Women,Running,React Infinity,11,0.0,Online,Bangaluru,0.0,-1044.4
2015,Kids,Basketball,Air Jordan,L,0.0,Retail,Kolkata,1193.21,0.0
2016,Women,Basketball,Air Jordan,M,6910.22,Retail,Hyderabad,2452.69,0.0
2017,Women,Basketball,Air Jordan,9,0.0,Retail,Delhi,1946.24,0.0
2018,Men,Training,Metcon 7,XL,0.0,Online,bengaluru,0.0,-966.89
2019,Kids,Running,Air Zoom,6,0.0,Online,Hyderabad,1915.24,0.0
2020,Kids,Soccer,Tiempo Legend,L,0.0,Retail,Mumbai,439.96,0.0
2021,Men,Running,Free RN,L,-2409.48,Retail,Hyderabad,0.0,-1120.49
2022,Women,Soccer,Premier III,M,0.0,Online,Pune,3427.16,0.0
2023,Men,Lifestyle,Waffle One,M,0.0,Online,Mumbai,1498.37,0.0
2024,Kids,Training,SuperRep Go,XL,0.0,Retail,Bangaluru,1842.35,0.0
2025,Women,Basketball,Kyrie Flytrap,M,0.0,Retail,Mumbai,1900.15,0.0
2026,Kids,Lifestyle,Blazer Mid,XL,0.0,Retail,Kolkata,2301.64,0.0
2027,Men,Basketball,Zoom Freak,XL,0.0,Online,Pune,0.0,-138.74
2028,Men,Training,Flex Trainer,12,0.0,Retail,Delhi,0.0,-946.86
